id,name,aliases,family,data_shape,shape_label,origin_code,origin,universality,depth_tier,areas,subject_tags,tools,sibling_count,siblings
P001,Histogram,frequency histogram,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM;LS;HM;PE;EE;SH,statistics;data-science,ggplot2::geom_histogram; matplotlib.hist; seaborn.histplot; base::hist,44,Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detri
P002,Density plot,kernel density estimate; KDE plot,F01 Distributions,S01,One continuous variable,D,Data-driven,universal,deep,XM;LS;HM;SH,statistics,ggplot2::geom_density; seaborn.kdeplot; scipy.stats.gaussian_kde,44,Histogram;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Frequency polygon;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital
P003,Frequency polygon,,F01 Distributions,S01,One continuous variable,D,Data-driven,domain-signature,standard,XM;SH,statistics,ggplot2::geom_freqpoly,44,Histogram;Density plot;Empirical CDF plot;Q-Q plot;Stem-and-leaf plot;Rug plot;Normal probability plot;Pareto chart;Spike histogram;Histogram with fitted distribution overlay;Cumulative frequency curve;GWAS Q-Q plot;Mutational signature plot;Sequence logo;Alpha diversity plot;Rarefaction curve;Species accumulation curve;Rank-abundance curve;Stratigraphic column;Gutenberg-Richter plot;Detrital zirc
P004,Box-and-whisker plot,box plot; Tukey box plot,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,LS;HM;XM;PE;SH,statistics;biological-techniques,ggplot2::geom_boxplot; seaborn.boxplot; base::boxplot,11,Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P005,Notched box plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,domain-signature,standard,XM;HM,statistics,ggplot2::geom_boxplot(notch=TRUE),11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P006,Letter-value plot,boxen plot,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,niche,stub,XM,statistics,seaborn.boxenplot; lvplot,11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Stacked violin plot;QC violin panel
P007,Violin plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,LS;HM;XM,statistics;single-cell,ggplot2::geom_violin; seaborn.violinplot; scanpy.pl.violin,11,Box-and-whisker plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P008,Bean plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,domain-signature,standard,XM;LS,statistics,R::beanplot,11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
P009,Sina plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,domain-signature,standard,LS;XM,statistics,ggforce::geom_sina,11,Box-and-whisker plot;Violin plot;Raincloud plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Letter-value plot;Stacked violin plot;QC violin panel
P010,Raincloud plot,,F01 Distributions,S02,"One continuous variable, split by group",D,Data-driven,universal,deep,LS;HM;SH,statistics;psychology,ggrain; PupillometryR; raincloudplots; ptitprince (py),11,Box-and-whisker plot;Violin plot;Strip plot;Wilkinson dot plot;Beeswarm plot;Notched box plot;Bean plot;Sina plot;Letter-value plot;Stacked violin plot;QC violin panel
