# ============================================================
# SUBJECT TAXONOMY  (5 areas + 1 cross-cutting methods layer)
# Grounded in: Nature subject ontology (nature.com/subjects)
#              Elsevier Journal Finder taxonomy (screenshots)
# ============================================================
AREA|HM|Health & Medicine
TAG|HM|clinical-medicine|Clinical medicine (general)
TAG|HM|cardiology|Cardiology & vascular
TAG|HM|oncology|Oncology
TAG|HM|neurology|Neurology & stroke
TAG|HM|psychiatry|Psychiatry & mental health
TAG|HM|endocrinology|Endocrinology & metabolism
TAG|HM|gastro-hepatology|Gastroenterology & hepatology
TAG|HM|nephrology-urology|Nephrology & urology
TAG|HM|respiratory|Respiratory medicine
TAG|HM|rheum-immunology|Rheumatology & clinical immunology
TAG|HM|infectious-disease|Infectious disease
TAG|HM|obgyn|Obstetrics, gynaecology & reproductive health
TAG|HM|paediatrics|Paediatrics
TAG|HM|geriatrics|Geriatrics & ageing
TAG|HM|surgery|Surgery & perioperative care
TAG|HM|anaesthesia-icu|Anaesthesia & critical care
TAG|HM|emergency|Emergency medicine
TAG|HM|epidemiology|Epidemiology
TAG|HM|public-health|Public health & global health
TAG|HM|clinical-trials|Clinical trials & evidence synthesis
TAG|HM|diagnostics|Diagnostics & laboratory medicine
TAG|HM|radiology|Radiology & medical imaging
TAG|HM|medical-physics|Medical physics & dosimetry
TAG|HM|radiation-oncology|Radiation oncology & radiotherapy
TAG|HM|pathology|Pathology & histopathology
TAG|HM|pharmacology-clin|Clinical pharmacology & pharmacokinetics
TAG|HM|nutrition|Nutrition & dietetics
TAG|HM|sports-exercise|Sports & exercise science
TAG|HM|nursing-midwifery|Nursing & midwifery
TAG|HM|dentistry|Dentistry & oral health
TAG|HM|veterinary|Veterinary medicine
TAG|HM|health-econ|Health economics, services & policy
TAG|HM|anatomy-physiology|Anatomy & physiology
TAG|HM|genetics-clinical|Medical genetics
#
AREA|LS|Life Sciences
TAG|LS|molecular-cell|Molecular & cell biology
TAG|LS|biochemistry|Biochemistry
TAG|LS|structural-biology|Structural biology
TAG|LS|genetics|Genetics & heredity
TAG|LS|genomics|Genomics & epigenomics
TAG|LS|transcriptomics|Transcriptomics
TAG|LS|single-cell|Single-cell & spatial biology
TAG|LS|proteomics|Proteomics
TAG|LS|metabolomics|Metabolomics & lipidomics
TAG|LS|immunology|Immunology
TAG|LS|microbiology|Microbiology & virology
TAG|LS|neuroscience|Neuroscience
TAG|LS|dev-biology|Developmental biology & stem cells
TAG|LS|cancer-biology|Cancer biology
TAG|LS|ecology|Ecology & conservation
TAG|LS|evolution|Evolution & phylogenetics
TAG|LS|biodiversity|Biodiversity & systematics
TAG|LS|plant-science|Plant science & agronomy
TAG|LS|zoology-behaviour|Zoology & animal behaviour
TAG|LS|biophysics|Biophysics
TAG|LS|bioinformatics|Bioinformatics & computational biology
TAG|LS|systems-biology|Systems biology
TAG|LS|toxicology|Toxicology
TAG|LS|pharmacology|Pharmacology & drug discovery
TAG|LS|biotechnology|Biotechnology & bioengineering
TAG|LS|biological-techniques|Biological techniques & methods
#
AREA|PE|Physical Sciences & Engineering
TAG|PE|physics-general|Physics (general)
TAG|PE|condensed-matter|Condensed matter & solid state
TAG|PE|particle-nuclear|Particle & nuclear physics
TAG|PE|quantum|Quantum science
TAG|PE|optics-photonics|Optics & photonics
TAG|PE|thermodynamics|Thermodynamics & statistical mechanics
TAG|PE|fluid-dynamics|Fluid dynamics
TAG|PE|chem-organic|Organic chemistry
TAG|PE|chem-inorganic|Inorganic & coordination chemistry
TAG|PE|chem-physical|Physical chemistry
